text,sentiment
"Nhìn chung Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Nhìn chung Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nói chung là Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Ôi dào, Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Thực sự thì Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Đánh giá khách quan: Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Đánh giá khách quan: Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Nhìn chung Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
Thực sự thì Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Đánh giá khách quan: Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Đánh giá khách quan: Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Nhìn chung Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Đánh giá khách quan: Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
Nhìn chung Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Đánh giá khách quan: Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Đánh giá khách quan: Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Đánh giá khách quan: Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nói chung là Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Đánh giá khách quan: Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Nói chung là Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nhìn chung Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Nhìn chung Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Nói chung là Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Đánh giá khách quan: Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Ôi dào, Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Nói chung là Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Thực sự thì Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Ôi dào, Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Thực sự thì Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Thực sự thì Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Thực sự thì Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
Đánh giá khách quan: Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Nói chung là Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Ôi dào, Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.",neutral
"Nói chung là Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Nói chung là Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
Nói chung là Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Ôi dào, Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Ôi dào, Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Ôi dào, Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
Thực sự thì Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Nhìn chung Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Nói chung là Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Đánh giá khách quan: Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Thực sự thì Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Đánh giá khách quan: Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nhìn chung Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Nhìn chung Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Thực sự thì Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Ôi dào, Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Thực sự thì Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Nhìn chung Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nói chung là Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.",neutral
"Nhìn chung Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Đánh giá khách quan: Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Ôi dào, Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
Thực sự thì Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Thực sự thì Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Thực sự thì Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
Đánh giá khách quan: Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Ôi dào, Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Thực sự thì Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
Đánh giá khách quan: Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Ôi dào, Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Ôi dào, Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
Đánh giá khách quan: Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Thực sự thì Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Đánh giá khách quan: Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Ôi dào, Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
Đánh giá khách quan: Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Nhìn chung Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
Đánh giá khách quan: Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
Thực sự thì Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
Thực sự thì Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Nhìn chung Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nhìn chung Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nhìn chung Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Ôi dào, Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Đánh giá khách quan: Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nói chung là Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Đánh giá khách quan: Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Nói chung là Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Nói chung là Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
Thực sự thì Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Đánh giá khách quan: Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Nói chung là Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Đánh giá khách quan: Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
Thực sự thì Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Thực sự thì Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Thực sự thì Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Nhìn chung Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Ôi dào, Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nói chung là Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nói chung là Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Nhìn chung Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Thực sự thì Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Thực sự thì Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Đánh giá khách quan: Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
Đánh giá khách quan: Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Nhìn chung Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Thực sự thì Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Ôi dào, Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.",neutral
"Ôi dào, Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Thực sự thì Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Nhìn chung Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Đánh giá khách quan: Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Nói chung là Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Nhìn chung Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Ôi dào, Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nói chung là Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Nói chung là Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Đánh giá khách quan: Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Nhìn chung Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Thực sự thì Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Thực sự thì Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Ôi dào, Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.",neutral
"Nói chung là Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Ôi dào, Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Đánh giá khách quan: Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Ôi dào, Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.",neutral
"Ôi dào, Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Thực sự thì Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Thực sự thì Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Đánh giá khách quan: Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nhìn chung Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Nói chung là Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Đánh giá khách quan: Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Đánh giá khách quan: Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Nhìn chung Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Ôi dào, Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
Đánh giá khách quan: Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
Nhìn chung Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Nói chung là Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Thực sự thì Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Thực sự thì Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Ôi dào, Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Ôi dào, Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Thực sự thì Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Nói chung là Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Đánh giá khách quan: Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Ôi dào, Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Nhìn chung Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
Thực sự thì Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Nói chung là Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Ôi dào, Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nhìn chung Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Thực sự thì Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Ôi dào, Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Nhìn chung Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Thực sự thì Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Nhìn chung Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Nói chung là Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Nhìn chung Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Nói chung là Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Nói chung là Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Nói chung là Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Ôi dào, Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Nhìn chung Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Thực sự thì Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Đánh giá khách quan: Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Đánh giá khách quan: Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Ôi dào, Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.",neutral
"Thực sự thì Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Nhìn chung Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Thực sự thì Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Ôi dào, Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
Thực sự thì Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Nói chung là Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Thực sự thì Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Nói chung là Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Nhìn chung Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
Nhìn chung Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Nhìn chung Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
Nhìn chung Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Nói chung là Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Ôi dào, Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
Nhìn chung Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Nói chung là Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Thực sự thì Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Ôi dào, Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nói chung là Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Thực sự thì Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Nhìn chung Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Thực sự thì Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
Nói chung là Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Thực sự thì Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Nói chung là Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Ôi dào, Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Thực sự thì Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Ôi dào, Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.",neutral
Nói chung là Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Nói chung là Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
Nói chung là Tôi đang phân vân xe này với một dòng xe khác cùng phân khúc.,neutral
"Đánh giá khách quan: Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Ôi dào, Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.",neutral
"Đánh giá khách quan: Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Nói chung là Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Ôi dào, Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nói chung là Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
"Nói chung là Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Đánh giá khách quan: Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Ôi dào, Xe này nhìn cũng bình thường, không có gì quá nổi bật.",neutral
"Nói chung là Màn hình giải trí mượt, loa nghe hay, đáng tiền.",positive
"Đánh giá khách quan: Vỏ xe hơi mỏng, đi tốc độ cao nghe tiếng lốp vọng vào cabin rất khó chịu.",negative
"Ôi dào, Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Nhìn chung Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Nhìn chung Thiết kế ngoại thất quá đẹp, nhìn sang trọng như xe châu Âu.",positive
"Thực sự thì Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Nói chung là Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Nói chung là Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Thực sự thì Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Thực sự thì Điều hòa mát chậm quá, trưa nắng ngồi hàng ghế sau nóng chảy mỡ.",negative
"Nhìn chung Chi phí bảo dưỡng của hãng quá đắt đỏ, dịch vụ chăm sóc khách hàng kém.",negative
"Ôi dào, Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
Nhìn chung Giá lăn bánh tầm 700 triệu thì cũng là một lựa chọn để cân nhắc.,neutral
"Đánh giá khách quan: Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Ôi dào, Tiết kiệm nhiên liệu cực kỳ, chạy dịch vụ hay gia đình đều ổn.",positive
"Ôi dào, Hệ thống treo êm ái, đi qua gờ giảm tốc không bị xóc nảy.",positive
"Nhìn chung Xe hay bị lỗi vặt về cảm biến, mang ra hãng bảo hành suốt phát mệt.",negative
"Thực sự thì Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Thực sự thì Thông số kỹ thuật thấy ghi giống bản cũ, không thay đổi mấy.",neutral
"Đánh giá khách quan: Động cơ hơi yếu, mỗi lần muốn vượt xe tải trên cao tốc là hụt hơi.",negative
"Nói chung là Xe mới mua nên chưa có đánh giá gì nhiều, cần trải nghiệm thêm.",neutral
"Nhìn chung Xe đi rất đầm chắc, cách âm tốt vượt trội trong tầm giá.",positive
